Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PgB01_g085,2609.90,-0.75,0.87,-0.86,0.39,0.61
PgB01_g086,520.76,0.11,0.22,0.48,0.63,0.79
PgB01_g087,52.84,0.48,0.68,0.70,0.48,0.69
PgB01_g088,13.06,0.69,0.77,0.90,0.37,0.59
PgB01_g090,1013.12,-0.75,0.42,-1.78,0.07,0.22
PgB01_g091,669.31,-0.26,0.31,-0.82,0.41,0.63
PgB01_g092,105.79,-0.99,1.00,-0.99,0.32,0.55
PgB01_g094,202.34,2.55,0.70,3.67,0.00,0.00
PgB01_g096,63.04,0.55,0.93,0.59,0.56,0.74
PgB01_g098,38.09,4.71,1.15,4.10,0.00,0.00
PgB01_g099,67.30,3.64,1.11,3.28,0.00,0.01
PgB01_g100,399.10,0.30,0.54,0.56,0.58,0.76
PgB01_g101,471.25,-0.13,0.31,-0.43,0.67,0.82
PgB01_g102,905.81,0.10,0.30,0.32,0.75,0.87
PgB01_g103,30.20,5.30,1.34,3.94,0.00,0.00
PgB01_g104,9.08,9.04,2.59,3.49,0.00,0.01
PgB01_g105,97.87,0.60,0.24,2.49,0.01,0.07
PgB01_g106,316.48,0.69,0.80,0.86,0.39,0.61
PgB01_g107,223.57,-0.18,0.26,-0.71,0.48,0.68
PgB01_g109,694.50,0.20,0.25,0.83,0.41,0.62
PgB01_g111,399.79,0.09,0.30,0.29,0.77,0.88
PgB01_g112,674.30,-0.51,0.37,-1.40,0.16,0.36
PgB01_g113,1014.26,0.10,0.22,0.46,0.65,0.81
PgB01_g114,19.75,2.73,1.04,2.63,0.01,0.05
PgB01_g115,729.73,-0.23,0.32,-0.72,0.47,0.68
PgB01_g116,440.81,0.13,0.20,0.65,0.52,0.71
PgB01_g117,132.34,0.51,0.40,1.27,0.21,0.42
PgB01_g118,1054.50,0.51,0.58,0.89,0.37,0.60
PgB01_g119,99.40,2.41,1.70,1.42,0.16,0.36
PgB01_g120,91.98,1.80,1.19,1.50,0.13,0.32
PgR002_g248,7976.37,9.55,1.56,6.11,#N/A,#N/A
PgB01_g122,24.20,5.94,1.21,4.89,0.00,0.00
PgB01_g124,910.37,-0.05,0.23,-0.24,0.81,0.91
PgB01_g125,1340.02,0.65,0.45,1.46,0.14,0.34
PgB01_g126,1047.13,-0.41,0.20,-2.04,0.04,0.15
PgB01_g127,55.56,0.13,0.34,0.39,0.70,0.84
PgB01_g128,1889.16,0.49,0.28,1.72,0.09,0.24
PgB01_g129,2098.70,-0.75,0.47,-1.58,0.11,0.30
PgB01_g130,575.33,0.30,0.23,1.30,0.19,0.41
PgB01_g131,85.40,0.39,0.91,0.43,0.67,0.82
PgB01_g133,427.85,1.39,0.83,1.68,0.09,0.26
PgB01_g134,272.52,-0.07,0.23,-0.29,0.77,0.88
PgB01_g135,775.55,0.38,0.18,2.13,0.03,0.13
PgB01_g137,5920.62,0.18,0.22,0.80,0.42,0.64
PgB01_g138,235.87,0.12,0.20,0.58,0.56,0.75
PgB01_g139,119.12,0.90,0.35,2.55,0.01,0.06
PgB01_g140,51.48,-0.24,0.69,-0.35,0.73,0.86
PgB01_g141,1152.28,0.47,0.31,1.51,0.13,0.32
PgB01_g142,72.56,0.72,0.58,1.23,0.22,0.43
PgB01_g143,3509.88,-0.44,0.28,-1.56,0.12,0.30
PgB01_g144,121.26,3.91,0.98,4.00,0.00,0.00
PgB01_g145,139.50,-2.76,1.27,-2.17,0.03,0.12
PgB01_g146,703.60,0.00,0.23,-0.01,0.99,1.00
PgB01_g147,219.43,0.17,0.29,0.60,0.55,0.74
PgB01_g148,120.97,0.44,0.35,1.24,0.21,0.43
PgB01_g149,17.19,0.09,0.56,0.15,0.88,0.94
PgB01_g151,12.99,1.31,1.39,0.94,0.35,0.57
PgB01_g152,221.71,2.25,0.69,3.29,0.00,0.01
PgB01_g155,27.62,0.90,0.72,1.26,0.21,0.42
PgB01_g156,349.84,1.13,0.35,3.21,0.00,0.01
PgB01_g157,3310.63,0.86,0.49,1.76,0.08,0.23
PgB01_g158,4068.86,0.75,0.25,2.97,0.00,0.03
PgB01_g159,206.82,0.45,0.26,1.74,0.08,0.24
PgB01_g160,560.14,-0.11,0.34,-0.34,0.73,0.86
PgB01_g161,243.59,1.65,0.52,3.20,0.00,0.01
PgB01_g162,5094.96,-0.87,0.25,-3.42,0.00,0.01
PgB01_g163,34043.79,-0.57,0.26,-2.20,0.03,0.12
PgB01_g164,305.76,0.66,0.32,2.07,0.04,0.14
PgB01_g165,292.36,0.12,0.35,0.34,0.74,0.86
PgB01_g166,952.07,-0.52,0.27,-1.90,0.06,0.19
PgB01_g167,63.79,0.41,0.35,1.16,0.25,0.47
PgB01_g168,20833.80,-0.32,0.16,-1.96,0.05,0.17
PgB01_g170,32.99,-0.40,0.97,-0.42,0.68,0.83
PgB01_g171,1091.44,5.10,0.89,5.73,0.00,0.00
